_id,dateTime,dow,dateTime,nasdaq,dateTime,sp
5c62152737c1383248ccedcd,4/30/2014,16580.84,4/30/2014,4114.556,4/30/2014,1883.95
5c62152737c1383248ccedce,5/1/2014,16558.87,5/1/2014,4127.451,5/1/2014,1883.68
5c62152737c1383248ccedcf,5/2/2014,16512.89,5/2/2014,4123.897,5/2/2014,1881.14
5c62152737c1383248ccedd0,5/5/2014,16530.55,5/5/2014,4138.055,5/5/2014,1884.66
5c62152737c1383248ccedd1,5/6/2014,16401.02,5/6/2014,4080.759,5/6/2014,1867.72
5c62152737c1383248ccedd2,5/7/2014,16518.54,5/7/2014,4067.673,5/7/2014,1878.21
5c62152737c1383248ccedd3,5/8/2014,16550.97,5/8/2014,4051.496,5/8/2014,1875.63
5c62152737c1383248ccedd4,5/9/2014,16583.34,5/9/2014,4071.87,5/9/2014,1878.48
5c62152737c1383248ccedd5,5/12/2014,16695.47,5/12/2014,4143.859,5/12/2014,1896.65
5c62152737c1383248ccedd6,5/13/2014,16715.44,5/13/2014,4130.165,5/13/2014,1897.45
5c62152737c1383248ccedd7,5/14/2014,16613.97,5/14/2014,4100.627,5/14/2014,1888.53
5c62152737c1383248ccedd8,5/15/2014,16446.81,5/15/2014,4069.292,5/15/2014,1870.85
5c62152737c1383248ccedd9,5/16/2014,16491.31,5/16/2014,4090.588,5/16/2014,1877.86
5c62152737c1383248ccedda,5/19/2014,16511.86,5/19/2014,4125.815,5/19/2014,1885.08
5c62152737c1383248cceddb,5/20/2014,16374.31,5/20/2014,4096.891,5/20/2014,1872.83
5c62152737c1383248cceddc,5/21/2014,16533.06,5/21/2014,4131.538,5/21/2014,1888.03
5c62152737c1383248cceddd,5/22/2014,16543.08,5/22/2014,4154.342,5/22/2014,1892.49
5c62152737c1383248ccedde,5/23/2014,16606.27,5/23/2014,4185.808,5/23/2014,1900.53
5c62152737c1383248cceddf,5/27/2014,16675.5,5/27/2014,4237.068,5/27/2014,1911.91
5c62152737c1383248ccede0,5/28/2014,16633.18,5/28/2014,4225.075,5/28/2014,1909.78
5c62152737c1383248ccede1,5/29/2014,16698.74,5/29/2014,4247.947,5/29/2014,1920.03
5c62152737c1383248ccede2,5/30/2014,16717.17,5/30/2014,4242.618,5/30/2014,1923.57
5c62152737c1383248ccede3,6/2/2014,16743.63,6/2/2014,4237.199,6/2/2014,1924.97
5c62152737c1383248ccede4,6/3/2014,16722.34,6/3/2014,4234.081,6/3/2014,1924.24
5c62152737c1383248ccede5,6/4/2014,16737.53,6/4/2014,4251.643,6/4/2014,1927.88
5c62152737c1383248ccede6,6/5/2014,16836.11,6/5/2014,4296.227,6/5/2014,1940.46
5c62152737c1383248ccede7,6/6/2014,16924.28,6/6/2014,4321.399,6/6/2014,1949.44
5c62152737c1383248ccede8,6/9/2014,16943.1,6/9/2014,4336.243,6/9/2014,1951.27
5c62152737c1383248ccede9,6/10/2014,16945.92,6/10/2014,4337.997,6/10/2014,1950.79
5c62152737c1383248ccedea,6/11/2014,16843.88,6/11/2014,4331.932,6/11/2014,1943.89
5c62152737c1383248ccedeb,6/12/2014,16734.19,6/12/2014,4297.633,6/12/2014,1930.11
5c62152737c1383248ccedec,6/13/2014,16775.74,6/13/2014,4310.653,6/13/2014,1936.16
5c62152737c1383248cceded,6/16/2014,16781.01,6/16/2014,4321.105,6/16/2014,1937.78
5c62152737c1383248ccedee,6/17/2014,16808.49,6/17/2014,4337.234,6/17/2014,1941.99
5c62152737c1383248ccedef,6/18/2014,16906.62,6/18/2014,4362.836,6/18/2014,1956.98
5c62152737c1383248ccedf0,6/19/2014,16921.46,6/19/2014,4359.326,6/19/2014,1959.48
5c62152737c1383248ccedf1,6/20/2014,16947.08,6/20/2014,4368.037,6/20/2014,1962.87
5c62152737c1383248ccedf2,6/23/2014,16937.26,6/23/2014,4368.676,6/23/2014,1962.61
5c62152737c1383248ccedf3,6/24/2014,16818.13,6/24/2014,4350.355,6/24/2014,1949.98
5c62152737c1383248ccedf4,6/25/2014,16867.51,6/25/2014,4379.757,6/25/2014,1959.53
5c62152737c1383248ccedf5,6/26/2014,16846.13,6/26/2014,4379.046,6/26/2014,1957.22
5c62152737c1383248ccedf6,6/27/2014,16851.84,6/27/2014,4397.93,6/27/2014,1960.96
5c62152737c1383248ccedf7,6/30/2014,16826.6,6/30/2014,4408.178,6/30/2014,1960.23
