2014,2,11,15994.77,4191.045,1819.75,15963.94
2014,2,12,15963.94,4201.288,1819.26,16027.59
2014,2,13,16027.59,4240.672,1829.83,16154.39
2014,2,14,16154.39,4244.025,1838.63,16130.4
2014,2,18,16130.4,4272.783,1840.76,16040.56
2014,2,19,16040.56,4237.954,1828.75,16133.23
2014,2,20,16133.23,4267.545,1839.78,16103.3
2014,2,21,16103.3,4263.411,1836.25,16207.14
2014,2,24,16207.14,4292.968,1847.61,16179.66
2014,2,25,16179.66,4287.587,1845.12,16198.41
2014,2,26,16198.41,4292.064,1845.16,16272.65
2014,2,27,16272.65,4318.933,1854.29,16321.71
2014,2,28,16321.71,4308.119,1859.45,16168.03
2014,3,3,16168.03,4277.301,1845.73,16395.88
2014,3,4,16395.88,4351.972,1873.91,16360.18
2014,3,5,16360.18,4357.974,1873.81,16421.89
2014,3,6,16421.89,4352.125,1877.03,16452.72
2014,3,7,16452.72,4336.223,1878.04,16418.68
2014,3,10,16418.68,4334.448,1877.17,16351.25
2014,3,11,16351.25,4307.188,1867.63,16340.08
2014,3,12,16340.08,4323.332,1868.2,16108.89
2014,3,13,16108.89,4260.42,1846.34,16065.67
2014,3,14,16065.67,4245.396,1841.13,16247.22
2014,3,17,16247.22,4279.949,1858.83,16336.19
2014,3,18,16336.19,4333.313,1872.25,16222.17
2014,3,19,16222.17,4307.602,1860.77,16331.05
2014,3,20,16331.05,4319.286,1872.01,16302.77
2014,3,21,16302.77,4276.788,1866.52,16276.69
2014,3,24,16276.69,4226.385,1857.44,16367.88
2014,3,25,16367.88,4234.268,1865.62,16268.99
2014,3,26,16268.99,4173.579,1852.56,16264.23
2014,3,27,16264.23,4151.232,1849.04,16323.06
2014,3,28,16323.06,4155.759,1857.62,16457.66
2014,3,31,16457.66,4198.994,1872.34,16532.61
2014,4,1,16532.61,4268.04,1885.52,16573
2014,4,2,16573,4276.456,1890.9,16572.55
2014,4,3,16572.55,4237.74,1888.77,16412.71
2014,4,4,16412.71,4127.726,1865.09,16245.87
